Profit Margin,Debt Ratio,ROA,2019 PRICE VAR [%]
181.9237705,100,76.13865128,90.692319
179.2536271,96.49883736,73.57221784,90.4044364
172.6805469,93.01553711,72.06513035,90.6246309
166.4365838,84.09441987,68.61998423,90.7465929
157.4092199,82.37063779,65.80843924,90.8235209
157.4092199,80.51620126,64.55957705,90.7058777
157.4092199,78.54813406,63.31300278,85.1111197
149.4250245,76.19667865,61.3116022,88.6010288
143.7889324,76.12903244,59.06489009,77.2486862
139.5207496,68.01789459,54.08513524,75.2500057
132.1044481,66.725863,52.03300017,72.1311357
127.7431062,65.88968885,49.9474567,70.6896422
116.6479062,63.4370335,48.51837113,69.4029616
104.9691432,59.35116554,47.26650008,68.8155937
103.5116374,59.01937046,44.3298009,66.8221682
103.2627199,57.28088337,42.39622642,63.9819052
100,56.28402177,39.95486737,62.4271955
100,55.88694505,39.89177692,60.2311028
100,54.69002285,37.81994463,57.271909
100,53.75649633,37.33656174,56.8047341
100,53.15171692,37.22250762,54.0856272
100,51.66742604,34.87257265,49.6503625
100,51.06828194,34.82215743,49.5495554
100,50.20986893,34.69465762,48.421075
100,50.12405032,34.53321043,43.5779606
100,48.48701375,34.43810877,67.8299169
100,48.26416079,34.08432362,61.5165987
100,48.0756261,33.99928438,222.4489821
100,47.91814766,33.57237022,80.7364997
100,44.91010437,32.92765701,80.5868765
100,42.45561941,32.64244865,48.3856432
100,42.44305271,32.58714496,77.3410237
100,42.2529714,32.56112505,66.6089718
100,41.09621585,32.14402887,64.7118832
100,41.02681433,32.10564612,43.4113698
100,40.84299846,31.96112874,40.4622218
100,40.80577797,31.80206233,38.8917346
100,40.76837676,31.68644183,87.6550479
100,40.50799899,30.59664513,86.8181889
100,39.85152425,30.42506049,197.8298612
100,39.75027839,30.28980911,196.1988271
100,39.19099107,29.84039782,193.0070078
100,39.05442736,29.31287153,192.9100621
100,38.69985141,28.93262413,191.5384693
100,37.62803192,27.65062743,191.1392266
100,37.31821461,27.10612935,190.8045928
100,37.28203606,26.40385296,190.3860852
100,37.06,26.23723616,188.9389309
100,36.77852819,25.88624854,188.6002155
100,36.60274231,25.65685501,185.337904
100,36.39510288,25.18047602,182.0379971
100,36.36363636,25.04206242,180.2806921
100,36.32671074,24.98443722,176.8683405
100,35.60731808,24.85151803,175.8157833
100,35.48387097,24.6241256,174.9999897
100,35.38621503,24.52475007,174.6951313
100,35.21600543,24.45734578,173.2860607
100,35.08248508,24.29087927,172.2222347
100,34.20043666,24.2476489,171.5827435
100,33.88898013,24.19360013,170.3916877
100,33.66093791,23.89684367,170.0787382
100,33.50405321,23.8158136,169.4281973
100,33.46726193,23.67708232,168.8259088
100,33.24533439,23.56798069,166.6666667
100,33.04278352,23.27933754,165.9793657
100,33.00822046,23.1919941,164.9446394
100,32.85225169,23.16536634,163.9101996
100,32.71296027,23.1577718,163.4526198
100,32.67952346,22.82006645,163.0428557
100,32.02993422,22.76508983,161.9047738
100,31.6560056,22.71765262,161.7933724
100,31.58783071,22.63736264,160.1544334
100,31.46671603,22.59937011,160.0000105
100,31.24469354,22.57779569,159.0103382
100,31.22878913,22.46410375,158.8005638
100,31.20816066,22.41244828,157.7272706
100,30.66354987,22.2053813,157.5488799
100,30.34987795,21.98928143,157.5406155
100,30.1982209,21.93567285,156.9369355
100,30.09693729,21.73913043,156.6666501
100,28.56549127,21.4912413,153.6170332
100,28.2167532,21.30767131,153.4433668
100,28.15121027,21.17337706,153.3122883
100,27.85767848,21.07000407,152.3601906
100,27.74653414,21.04060855,152.1739266
100,27.63243062,21.02850076,151.6500814
100,27.57673431,21.02514195,151.1742094
100,27.05972318,20.99721606,150.1466134
100,26.87537752,20.94592263,149.9999901
100,26.87364725,20.83088329,148.8017363
